FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
1,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,412.129065217,0,412.121384195,11089.1959431,27287.83984375,646.866312177251
2,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,379.507796927,0,379.499272024,10239.8588178,25198.171875,595.399460358593
3,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,414.049312666,0,414.040557176,12877.6584937,31691.05859375,649.485445139874
4,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,581.709991729,0,581.697282384,20096.0639533,49457.86328125,912.016661117884
5,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,692.384193955,0,692.370293922,31485.3439102,77667.15234375,1087.36984994149
6,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,468.393861694,0,468.382245521,15989.3020776,39353.1171875,734.747291676252
7,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1216.83120181,0,1216.80532324,86183.6958802,212799.3125,1911.49825118533
8,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,655.340953062,0,655.326355013,30962.3075476,76383.8984375,1029.26107345004
9,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,589.054488796,0,589.039875165,24006.4747913,59262.9453125,925.420947289474
10,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,2075.24129403,0,2075.19645833,237346.384873,584977.13671875,3258.88050897259
11,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,3059.99092515,0,3059.92463412,477131.542562,1177978.1328125,4808.83614624092
12,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,627.041400847,0,627.025410912,27844.088565,68765.66015625,985.671386468863
13,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,526.459261879,0,526.447556041,19633.44729,48365.37890625,826.361890016978
14,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1490.20362649,0,1490.16904522,143382.692398,353405.32421875,2340.0260155512
15,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,834.531527481,0,834.513144585,50657.323911,125116.43359375,1311.49999313999
16,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,2868.42993067,0,2868.36692642,400662.685609,989790.28125,4511.55058834908
17,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,347.925930157,0,347.916451597,8639.52374564,21288.55859375,546.241848545427
18,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,282.901602198,0,282.8952934,5128.79095618,12638.24609375,444.161542016117
19,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1362.03813742,0,1362.00911154,121373.450747,299786.87890625,2141.05946849545
20,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,566.786664815,0,566.774625607,22350.9405604,55077.75,889.650940395962
21,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,436.593360788,0,436.583434911,13911.1230725,34359.5859375,686.246420196995
22,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,379.658239656,0,379.64902593,9478.7327936,23359.34375,596.032576109202
23,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,11149.1676083,0,11148.9267957,2230214.74411,5511305.70703125,17529.8616887988
24,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,496.612386673,0,496.60043002,16236.2713384,40090.5,780.345652878186
25,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,404.754878189,0,404.746705761,11423.4128563,28154.41796875,635.469445348969
26,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,507.025723595,0,507.015621977,19001.3631505,46820.55078125,795.874814274559
27,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,422.708846749,0,422.699219829,12306.1771624,30397.078125,664.105425686422
28,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,499.956944302,0,499.94448336,17943.2612677,44230.9375,784.932903479624
29,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,765.268573134,0,765.253381908,40931.6915692,100811.2265625,1200.64345024433
30,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1087.28488696,0,1087.26156353,78312.6993063,193457.453125,1709.25485964316
31,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,686.479178056,0,686.464304498,33192.9950206,81756.6171875,1077.19668442225
32,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,397.575232122,0,397.565757962,10852.4489614,26815.52734375,624.855780220018
33,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,4458.25611911,0,4458.16115882,850890.194884,2097257.31640625,6999.43088709835
34,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,328.612888818,0,328.605379751,7435.33803411,18373.20703125,516.555620358178
35,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,325.207902665,0,325.198685013,7529.13108246,18606.05078125,511.104193494408
36,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,977.903709384,0,977.884668193,52803.7971126,130486.6953125,1536.94998783688
37,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,706.868563616,0,706.853089454,34104.11948,84018.68359375,1109.39581603513
38,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,523.856489263,0,523.845262743,19172.3683502,47277.88671875,822.499040956446
39,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,667.130415207,0,667.114828664,33494.3915428,82565.29296875,1047.29807870052
40,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,902.006415061,0,901.986355598,52298.7572413,128982.01953125,1417.03819236781
41,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,500.63958735,0,500.62949271,17643.567105,43514.39453125,786.123731479866
42,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1271.86588785,0,1271.83640184,98093.2533699,242470.4765625,2000.79292530503
43,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1316.59310204,0,1316.56316449,107280.704287,264580.203125,2068.43206121088
44,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,573.052390978,0,573.038143287,23288.4181296,57434.703125,900.232054462259
